latitude,longitude,calcium,magnesium,titanium
26.577619,88.293435,1949,5673,3450
26.577484,88.295378,2618,7562,4307
26.57981,88.296353,2194,9627,5171
26.582427,88.295537,1594,6862,3695
26.578917,88.295634,1867,8002,4828
26.577938,88.294894,1808,8172,4649
26.577557,88.292935,2203,5312,3319
26.580196,88.296801,1880,5970,3482
26.58179,88.294508,1805,8769,4839
26.582453,88.296158,2331,6553,3524
26.580469,88.294542,1664,7907,4763
26.582873,88.294866,2310,7900,4384
26.578373,88.294007,1968,6331,3905
26.581545,88.29842,2763,6757,3556
26.581724,88.29726,3222,6024,3511
26.579095,88.293542,3151,7023,4459
26.577053,88.29269,2793,5421,3416
26.576583,88.293312,4202,5167,2866
26.576556,88.292787,2044,6422,3849
26.576594,88.294072,1698,5910,3729
26.577128,88.293671,3243,6357,4005
26.579712,88.294433,1865,9128,5689
26.578065,88.293056,1583,5862,3641
26.581707,88.296219,1999,6786,4208
26.580326,88.297339,1680,7670,4608
26.581283,88.294256,2699,7072,4248
26.577185,88.294211,2144,5899,3694
26.580811,88.297486,3462,7369,4339
26.577072,88.295032,2123,5656,3405
26.581083,88.294972,1579,7670,4672
26.580746,88.295559,1621,9050,5539
26.578403,88.295527,1447,7940,4828
26.578534,88.293308,1851,6998,4537
26.579617,88.293788,2023,10156,6169
26.580388,88.293877,5686,8959,5262
26.579081,88.296412,5247,7830,4648
26.578288,88.294516,3066,7296,4467
26.580697,88.29624,2481,7240,4214
26.579234,88.294602,1940,6400,3894
26.572136,88.293021,1875,8933,4946
26.574207,88.293286,2220,5369,3266
26.572325,88.291558,1522,9346,5406
26.57383,88.291554,1878,7394,4381
26.57294,88.291302,1661,8459,5047
26.572087,88.293643,1499,8538,4868
26.574514,88.292543,1940,5287,3202
26.574084,88.291973,2148,5846,3558
26.573962,88.293873,2684,5539,3311
26.572716,88.292984,1956,7323,4133
26.575369,88.292308,2346,6306,3705
26.572145,88.29213,1452,8135,4518
26.573244,88.292685,2442,5826,3532
26.572763,88.292015,1585,8785,5143
26.572891,88.293582,1715,6928,4192
26.573401,88.293732,2149,6281,3606
26.572471,88.290974,1797,10396,5976
26.573684,88.29243,1708,6243,3741
26.573675,88.293186,1859,7313,4282
26.57543,88.293672,2131,6931,4621
26.572632,88.294013,2125,8404,4902
26.585055,88.28971,1906,7476,4090
26.590715,88.292757,1713,7679,4111
26.584852,88.290377,4306,8010,4511
26.585683,88.290475,1536,6477,3653
26.584678,88.290974,1676,6949,4062
26.589238,88.292581,1407,5978,3511
26.586624,88.290122,1452,9489,5513
26.589835,88.29314,1473,9826,5944
26.590576,88.291794,2940,7315,4026
26.589943,88.291264,1349,8006,4652
26.582175,88.289648,1151,2467,2548
26.58101,88.288206,1672,2414,2883
26.582692,88.29009,1582,2079,2515
26.57918,88.288345,1831,3628,3953
26.582667,88.288458,1233,3568,4216
26.582096,88.288701,624,2154,5605
26.579824,88.289356,587,2354,4041
26.58327,88.289831,2982,3888,4621
26.583125,88.289143,1201,3948,4102
26.580425,88.288538,872,3367,3925
26.581368,88.288717,1004,2151,3532
26.582897,88.290625,1272,2081,3859
26.582642,88.289188,764,1036,2035
26.581619,88.289338,1997,2863,2771
26.578926,88.288852,1737,1814,2485
26.582201,88.290279,1682,2239,4255
26.583615,88.289106,2135,2328,3715
