latitude,longitude,calcium,magnesium,titanium
26.578145,88.29539,3002,6243,3942
26.57752,88.294273,1861,6525,3906
26.579074,88.294872,1462,7411,4672
26.580844,88.295301,2243,6247,4105
26.580576,88.2943,2195,7007,4073
26.582264,88.295113,1639,7234,4067
26.581652,88.294601,1756,6749,4021
26.582521,88.295433,2380,7779,4474
26.581406,88.296387,1750,5664,1765
26.581333,88.297424,1993,7610,4585
26.580494,88.296524,3211,7411,4205
26.579609,88.296654,1518,7141,4401
26.580608,88.297516,4736,6858,4216
26.580147,88.296052,1693,8387,4981
26.576857,88.293567,1650,7843,4758
26.57987,88.295082,1566,7950,4931
26.579174,88.296333,2526,6790,4206
26.579018,88.295555,4036,7302,4406
26.57936,88.294014,1581,4614,3011
26.576929,88.292732,1862,5269,3466
26.581738,88.295766,2643,4690,2933
26.578175,88.293282,2487,6534,4393
26.578506,88.294319,2113,5215,3338
26.575185,88.293066,1103,6630,4457
26.57422,88.293665,1567,5767,3491
26.574833,88.291954,1714,5861,3473
26.57419,88.292152,2385,5465,3213
26.574032,88.293053,1615,6237,3663
26.574324,88.292702,2111,5732,3106
26.57369,88.29213,3117,6606,3869
26.573997,88.29174,1322,5811,3347
26.57368,88.29308,1397,6869,4221
26.573049,88.29295,1545,5267,3110
26.572307,88.292342,1510,7101,4187
26.574846,88.293665,1467,7610,4467
26.572226,88.29177,2731,8278,5089
26.572262,88.292869,1324,8216,4832
26.57555,88.29221,1819,6511,3788
26.573418,88.29155,2305,7226,4281
26.57253,88.291367,2265,8653,5148
26.573303,88.292206,3146,6500,3365
26.572861,88.291823,2916,8427,4968
26.57539,88.293777,2098,6879,4308
26.575007,88.292655,1986,4709,2843
26.573252,88.291267,1190,8625,4994
26.575291,88.292259,1507,5862,4097
26.572879,88.292467,1385,7629,4148
26.571976,88.293381,1182,8280,4550
26.572441,88.293953,1450,8403,4759
26.572325,88.293533,1275,7394,4130
26.572613,88.293526,1194,7469,4199
26.572931,88.293945,1294,7034,3944
26.573193,88.293419,1393,7200,4169
26.574715,88.293037,1990,5093,2791
26.573395,88.29377,1610,6390,3795
26.57448,88.29251,1855,4988,2902
26.585207,88.289973,2014,5594,3264
26.584745,88.290321,1495,5836,3411
26.590115,88.292297,1720,8746,4960
26.585422,88.291278,2502,8213,4661
26.586539,88.290259,3433,7983,4412
26.580816,88.289108,1082,6457,4322
26.582317,88.290459,1697,4620,3081
26.582731,88.289365,1951,5230,2993
26.583115,88.289937,1528,5052,3066
26.581962,88.289552,2220,4279,2663
26.580701,88.28848,1729,4793,3116
26.579396,88.288708,1681,4648,2804
26.582588,88.288559,1484,5113,3178
26.579477,88.287894,1643,5911,3654
26.583359,88.288818,1682,4515,2808
26.581755,88.290199,1895,4792,2935
26.580454,88.287804,1234,6381,4230
26.582819,88.29023,1844,4745,2984
26.581957,88.288269,2334,3745,2231
26.58198,88.288819,1768,4777,3048
26.580074,88.287521,1977,5127,3349
26.581131,88.289909,1646,3674,2292
26.58128,88.288033,3453,4379,2756
